"","Entity","Code","Year","Annual.precipitation"
"1","American Samoa","ASM",1940,2582.8018
"2","American Samoa","ASM",1941,3576.4675
"3","American Samoa","ASM",1942,2255.6248
"4","American Samoa","ASM",1943,1870.6226
"5","American Samoa","ASM",1944,2246.8262
"6","American Samoa","ASM",1945,2193.1218
"7","American Samoa","ASM",1946,2220.7756
"8","American Samoa","ASM",1947,2615.7952
"9","American Samoa","ASM",1948,2426.796
"10","American Samoa","ASM",1949,1878.7852
"11","American Samoa","ASM",1950,1723.4554
"12","American Samoa","ASM",1951,2165.9976
"13","American Samoa","ASM",1952,3165.9106
"14","American Samoa","ASM",1953,2469.2974
"15","American Samoa","ASM",1954,2108.5786
"16","American Samoa","ASM",1955,2222.224
"17","American Samoa","ASM",1956,2043.9377
"18","American Samoa","ASM",1957,3019.8164
"19","American Samoa","ASM",1958,2914.6738
"20","American Samoa","ASM",1959,2841.8828
"21","American Samoa","ASM",1960,2865.3394
"22","American Samoa","ASM",1961,2322.832
"23","American Samoa","ASM",1962,2698.5835
"24","American Samoa","ASM",1963,2214.4165
"25","American Samoa","ASM",1964,2707.5547
"26","American Samoa","ASM",1965,2279.0088
"27","American Samoa","ASM",1966,2309.3567
"28","American Samoa","ASM",1967,2553.0645
"29","American Samoa","ASM",1968,2022.0385
"30","American Samoa","ASM",1969,1769.2441
"31","American Samoa","ASM",1970,2306.5957
"32","American Samoa","ASM",1971,2073.2573
"33","American Samoa","ASM",1972,2277.6355
"34","American Samoa","ASM",1973,3201.0146
"35","American Samoa","ASM",1974,1884.2115
"36","American Samoa","ASM",1975,1974.8878
"37","American Samoa","ASM",1976,2112.7043
"38","American Samoa","ASM",1977,2177.6084
"39","American Samoa","ASM",1978,3180.9512
"40","American Samoa","ASM",1979,1994.833
"41","American Samoa","ASM",1980,2060.4
"42","American Samoa","ASM",1981,2556.7493
"43","American Samoa","ASM",1982,1900.1998
"44","American Samoa","ASM",1983,1703.7296
"45","American Samoa","ASM",1984,2511.9324
"46","American Samoa","ASM",1985,1971.1991
"47","American Samoa","ASM",1986,2517.7173
"48","American Samoa","ASM",1987,1937.6373
"49","American Samoa","ASM",1988,2767.2559
"50","American Samoa","ASM",1989,2145.607
"51","American Samoa","ASM",1990,2257.76
"52","American Samoa","ASM",1991,2357.712
"53","American Samoa","ASM",1992,2198.0105
"54","American Samoa","ASM",1993,2210.2021
"55","American Samoa","ASM",1994,2621.314
"56","American Samoa","ASM",1995,2689.4587
"57","American Samoa","ASM",1996,2670.9329
"58","American Samoa","ASM",1997,2204.8435
"59","American Samoa","ASM",1998,1765.4896
"60","American Samoa","ASM",1999,2487.1692
"61","American Samoa","ASM",2000,2203.249
"62","American Samoa","ASM",2001,2771.803
"63","American Samoa","ASM",2002,2395.4333
"64","American Samoa","ASM",2003,2818.6455
"65","American Samoa","ASM",2004,2282.7883
"66","American Samoa","ASM",2005,2590.8813
"67","American Samoa","ASM",2006,3362.1445
"68","American Samoa","ASM",2007,3327.3755
"69","American Samoa","ASM",2008,2525.9495
"70","American Samoa","ASM",2009,2241.5132
"71","American Samoa","ASM",2010,2727.9854
"72","American Samoa","ASM",2011,2369.8025
"73","American Samoa","ASM",2012,2674.3115
"74","American Samoa","ASM",2013,2718.9216
"75","American Samoa","ASM",2014,2636.4995
"76","American Samoa","ASM",2015,2454.2407
"77","American Samoa","ASM",2016,2685.0376
"78","American Samoa","ASM",2017,2948.183
"79","American Samoa","ASM",2018,2898.1572
"80","American Samoa","ASM",2019,2451.5457
"81","American Samoa","ASM",2020,3319.2883
"82","American Samoa","ASM",2021,2049.9688
"83","American Samoa","ASM",2022,2129.22
"84","American Samoa","ASM",2023,2391.7676
"85","Andorra","AND",1940,899.67535
"86","Andorra","AND",1941,713.31024
"87","Andorra","AND",1942,847.24713
"88","Andorra","AND",1943,953.0392
"89","Andorra","AND",1944,867.1007
"90","Andorra","AND",1945,774.51324
"91","Andorra","AND",1946,857.9197
"92","Andorra","AND",1947,913.88513
"93","Andorra","AND",1948,861.742
"94","Andorra","AND",1949,806.76746
"95","Andorra","AND",1950,826.71545
"96","Andorra","AND",1951,1083.312
"97","Andorra","AND",1952,899.1509
"98","Andorra","AND",1953,776.14496
"99","Andorra","AND",1954,919.44507
"100","Andorra","AND",1955,920.372
"101","Andorra","AND",1956,881.691
"102","Andorra","AND",1957,858.8743
"103","Andorra","AND",1958,895.1311
"104","Andorra","AND",1959,1080.3528
"105","Andorra","AND",1960,1121.4647
"106","Andorra","AND",1961,794.39734
"107","Andorra","AND",1962,932.83655
"108","Andorra","AND",1963,1000.35095
"109","Andorra","AND",1964,849.53595
"110","Andorra","AND",1965,1150.5232
"111","Andorra","AND",1966,983.14856
"112","Andorra","AND",1967,949.58496
"113","Andorra","AND",1968,1013.3991
"114","Andorra","AND",1969,1165.392
"115","Andorra","AND",1970,971.0836
"116","Andorra","AND",1971,1158.1956
"117","Andorra","AND",1972,1277.8959
"118","Andorra","AND",1973,932.4846
"119","Andorra","AND",1974,1148.3335
"120","Andorra","AND",1975,919.08167
"121","Andorra","AND",1976,1035.224
"122","Andorra","AND",1977,1117.4489
"123","Andorra","AND",1978,958.17944
