"Entity.x","Code","Year","Annual.precipitation","X","Entity.y"
"Afghanistan","AFG",1950,347.0461,1,"Afghanistan"
"Afghanistan","AFG",1951,457.9805,1,"Afghanistan"
"Afghanistan","AFG",1952,382.8329,1,"Afghanistan"
"Afghanistan","AFG",1953,569.5969,1,"Afghanistan"
"Afghanistan","AFG",1954,496.13858,1,"Afghanistan"
"Afghanistan","AFG",1955,389.91342,1,"Afghanistan"
"Afghanistan","AFG",1956,397.5075,1,"Afghanistan"
"Afghanistan","AFG",1957,546.3104,1,"Afghanistan"
"Afghanistan","AFG",1958,288.7108,1,"Afghanistan"
"Afghanistan","AFG",1959,402.13696,1,"Afghanistan"
"Afghanistan","AFG",1960,372.24997,1,"Afghanistan"
"Afghanistan","AFG",1961,375.6163,1,"Afghanistan"
"Afghanistan","AFG",1962,297.93753,1,"Afghanistan"
"Afghanistan","AFG",1963,340.40457,1,"Afghanistan"
"Afghanistan","AFG",1964,381.36438,1,"Afghanistan"
"Afghanistan","AFG",1965,387.3357,1,"Afghanistan"
"Afghanistan","AFG",1966,298.59158,1,"Afghanistan"
"Afghanistan","AFG",1967,417.88486,1,"Afghanistan"
"Afghanistan","AFG",1968,407.7379,1,"Afghanistan"
"Afghanistan","AFG",1969,407.81015,1,"Afghanistan"
"Afghanistan","AFG",1970,284.71423,1,"Afghanistan"
"Afghanistan","AFG",1971,245.17657,1,"Afghanistan"
"Afghanistan","AFG",1972,493.60233,1,"Afghanistan"
"Afghanistan","AFG",1973,327.9221,1,"Afghanistan"
"Afghanistan","AFG",1974,364.12756,1,"Afghanistan"
"Afghanistan","AFG",1975,346.62283,1,"Afghanistan"
"Afghanistan","AFG",1976,423.05795,1,"Afghanistan"
"Afghanistan","AFG",1977,375.40482,1,"Afghanistan"
"Afghanistan","AFG",1978,336.64066,1,"Afghanistan"
"Afghanistan","AFG",1979,395.56918,1,"Afghanistan"
"Afghanistan","AFG",1980,414.62546,1,"Afghanistan"
"Albania","ALB",1950,1073.2523,3,"Albania"
"Albania","ALB",1951,1148.8429,3,"Albania"
"Albania","ALB",1952,1323.9454,3,"Albania"
"Albania","ALB",1953,964.6987,3,"Albania"
"Albania","ALB",1954,1214.1189,3,"Albania"
"Albania","ALB",1955,1564.9553,3,"Albania"
"Albania","ALB",1956,1424.9598,3,"Albania"
"Albania","ALB",1957,1212.1298,3,"Albania"
"Albania","ALB",1958,1320.1003,3,"Albania"
"Albania","ALB",1959,1389.2037,3,"Albania"
"Albania","ALB",1960,1711.1532,3,"Albania"
"Albania","ALB",1961,983.6811,3,"Albania"
"Albania","ALB",1962,1594.8137,3,"Albania"
"Albania","ALB",1963,1750.4216,3,"Albania"
"Albania","ALB",1964,1422.1814,3,"Albania"
"Albania","ALB",1965,1247.9419,3,"Albania"
"Albania","ALB",1966,1697.6583,3,"Albania"
"Albania","ALB",1967,1151.4725,3,"Albania"
"Albania","ALB",1968,1360.6041,3,"Albania"
"Albania","ALB",1969,1521.3213,3,"Albania"
"Albania","ALB",1970,1625.3536,3,"Albania"
"Albania","ALB",1971,1368.3113,3,"Albania"
"Albania","ALB",1972,1560.9259,3,"Albania"
"Albania","ALB",1973,1394.3987,3,"Albania"
