"Entity.x","Code","Year","Annual.precipitation","X","Entity.y"
"Afghanistan","AFG",1982,499.8618,1,"Afghanistan"
"Afghanistan","AFG",1983,370.81726,1,"Afghanistan"
"Afghanistan","AFG",1984,335.5672,1,"Afghanistan"
"Afghanistan","AFG",1985,314.26273,1,"Afghanistan"
"Afghanistan","AFG",1986,389.38318,1,"Afghanistan"
"Afghanistan","AFG",1987,342.6375,1,"Afghanistan"
"Afghanistan","AFG",1988,374.90253,1,"Afghanistan"
"Afghanistan","AFG",1989,371.33426,1,"Afghanistan"
"Afghanistan","AFG",1990,389.80063,1,"Afghanistan"
"Afghanistan","AFG",1991,522.0118,1,"Afghanistan"
"Afghanistan","AFG",1992,483.13354,1,"Afghanistan"
"Afghanistan","AFG",1993,352.79886,1,"Afghanistan"
"Afghanistan","AFG",1994,375.86728,1,"Afghanistan"
"Afghanistan","AFG",1995,363.31094,1,"Afghanistan"
"Afghanistan","AFG",1996,365.34705,1,"Afghanistan"
"Afghanistan","AFG",1997,418.02246,1,"Afghanistan"
"Afghanistan","AFG",1998,404.2699,1,"Afghanistan"
"Afghanistan","AFG",1999,347.337,1,"Afghanistan"
"Afghanistan","AFG",2000,219.97485,1,"Afghanistan"
"Afghanistan","AFG",2001,203.18445,1,"Afghanistan"
"Afghanistan","AFG",2002,304.83197,1,"Afghanistan"
"Afghanistan","AFG",2003,350.294,1,"Afghanistan"
"Afghanistan","AFG",2004,315.41003,1,"Afghanistan"
"Afghanistan","AFG",2005,374.579,1,"Afghanistan"
"Afghanistan","AFG",2006,346.97827,1,"Afghanistan"
"Afghanistan","AFG",2007,339.21094,1,"Afghanistan"
"Afghanistan","AFG",2008,278.27866,1,"Afghanistan"
"Afghanistan","AFG",2009,420.6156,1,"Afghanistan"
"Afghanistan","AFG",2010,332.74048,1,"Afghanistan"
"Afghanistan","AFG",2011,350.08728,1,"Afghanistan"
"Afghanistan","AFG",2012,385.41104,1,"Afghanistan"
"Afghanistan","AFG",2013,332.73666,1,"Afghanistan"
"Afghanistan","AFG",2014,348.4212,1,"Afghanistan"
"Afghanistan","AFG",2015,396.69046,1,"Afghanistan"
"Afghanistan","AFG",2016,313.22546,1,"Afghanistan"
