"","Entity.x","Code","Year","Annual.precipitation","X","Entity.y"
"1","Afghanistan","AFG",1940,217.67816,1,"Afghanistan"
"2","Afghanistan","AFG",1941,196.80933,1,"Afghanistan"
"3","Afghanistan","AFG",1942,300.08905,1,"Afghanistan"
"4","Afghanistan","AFG",1943,345.60892,1,"Afghanistan"
"5","Afghanistan","AFG",1944,324.4435,1,"Afghanistan"
"6","Afghanistan","AFG",1945,270.47113,1,"Afghanistan"
"7","Afghanistan","AFG",1946,187.51682,1,"Afghanistan"
"8","Afghanistan","AFG",1947,271.73877,1,"Afghanistan"
"9","Afghanistan","AFG",1948,350.473,1,"Afghanistan"
"10","Afghanistan","AFG",1949,405.3034,1,"Afghanistan"
"11","Afghanistan","AFG",1950,347.0461,1,"Afghanistan"
"12","Afghanistan","AFG",1951,457.9805,1,"Afghanistan"
"13","Afghanistan","AFG",1952,382.8329,1,"Afghanistan"
"14","Afghanistan","AFG",1953,569.5969,1,"Afghanistan"
"15","Afghanistan","AFG",1954,496.13858,1,"Afghanistan"
"16","Afghanistan","AFG",1955,389.91342,1,"Afghanistan"
"17","Afghanistan","AFG",1956,397.5075,1,"Afghanistan"
"18","Afghanistan","AFG",1957,546.3104,1,"Afghanistan"
"19","Afghanistan","AFG",1958,288.7108,1,"Afghanistan"
"20","Afghanistan","AFG",1959,402.13696,1,"Afghanistan"
"21","Afghanistan","AFG",1960,372.24997,1,"Afghanistan"
"22","Afghanistan","AFG",1961,375.6163,1,"Afghanistan"
"23","Afghanistan","AFG",1962,297.93753,1,"Afghanistan"
"24","Afghanistan","AFG",1963,340.40457,1,"Afghanistan"
"25","Afghanistan","AFG",1964,381.36438,1,"Afghanistan"
"26","Afghanistan","AFG",1965,387.3357,1,"Afghanistan"
"27","Afghanistan","AFG",1966,298.59158,1,"Afghanistan"
"28","Afghanistan","AFG",1967,417.88486,1,"Afghanistan"
"29","Afghanistan","AFG",1968,407.7379,1,"Afghanistan"
"30","Afghanistan","AFG",1969,407.81015,1,"Afghanistan"
"31","Afghanistan","AFG",1970,284.71423,1,"Afghanistan"
