FSI 2024 Ranking*,State,Problem-Solving Score,1. Credibility†,2. Basic Administration†,3. Monopoly on the Use of Force†,4. Taxation‡,5. Banking System†,6. Welfare Regime§,7. Access to Basic Water Services¶,,Key,
12.7,Norway,9.937,10,9.9,10,10,10,9.66,10,,*,"Fragile States Index (FSI) 2024 where high scores suggest great fragility and/or failure, and are highlighted in red. The color scale changes as scores improve until it is dark blue, or very stable. The same color scale is applied to the novel scores for comparison."
24.0,Germany,9.757,10,9.8,10,9,10,9.5,10,,†,"Indicator primary source: Bertelsmann Transformation Index (BTI) combined with a custom scoring range for basic administration to account for including taxation, policing, infrastructure, education, and public health.. See Source Supplements for state-by-state sources and scoring notes."
19.5,Netherlands,9.751,10,9.8,10,9,10,9.46,10,,‡,Indicator primary source: UNU-WIDER Government Revenue Dataset (2023) – with major processing by Our World in Data. See Source Supplements for state-by-state sources and scoring notes.
30.3,Belgium,9.660,10,9.2,9,10,10,9.42,10,,§,Indicator primary source: UNDP Human Development Index. See Source Supplements for state-by-state sources and scoring notes.
28.3,France,9.643,10,9.4,9,10,10,9.1,10,,¶,"Indicator primary source: WHO/UNICEF JMP 2023 Progress on household drinking water, sanitation and hygiene 2000–2022: special focus on gender. See Source Supplements for state-by-state sources and scoring notes."
15.9,Denmark,9.631,10,9.9,10,10,8,9.52,10,,,
14.3,Finland,9.610,10,9.85,8,10,10,9.42,10,,,
20.6,Sweden,9.589,9,9.6,10,10,9,9.52,10,,,
18.7,Luxembourg,9.581,9,9.8,10,9,10,9.27,10,,,
23.1,Austria,9.559,8,9.65,10,10,10,9.26,10,,,
30.2,Japan,9.407,10,9.65,10,7,10,9.2,10,,,
18.6,Canada,9.393,10,9.4,10,8,9,9.35,10,,,
16.2,Switzerland,9.374,9,9.95,10,7,10,9.67,10,,,
26.1,Slovenia,9.323,8,10,10,9,9,9.26,10,,,
44.5,United States,9.289,10,8.75,10,7,10,9.27,10,,,
40.8,United Kingdom,9.193,9,8.95,9,8,10,9.4,10,,,
15.9,New Zealand,9.134,10,9.55,10,8,7,9.39,10,,,
19.6,Australia,9.130,10,9.45,9,7,9,9.46,10,,,
18.6,Ireland,9.121,9,9.35,10,8,9,9.5,9,,,
36.5,Estonia,9.106,8,9.75,10,8,9,8.99,10,,,
41.1,Italy,9.044,9,8.25,9,9,9,9.06,10,,,
25.9,Portugal,8.827,7,9.05,10,8,9,8.74,10,,,
35.3,Slovakia,8.821,8,8.2,10,8,9,8.55,10,,,
44.0,Spain,8.809,8,8.55,9,8,9,9.11,10,,,
29.8,South Korea,8.756,8,10,10,6,9,9.29,9,,,
15.2,Iceland,8.741,8,9.6,10,8,6,9.59,10,,,
37.7,Czechia,8.721,8,9.1,10,8,7,8.95,10,,,
37.4,Lithuania,8.677,8,8.95,10,7,9,8.79,9,,,
34.7,United Arab Emirates,8.596,10,8.8,10,5,7,9.37,10,,,
41.7,Poland,8.587,7,8.3,10,9,8,8.81,9,,,
41.4,Latvia,8.470,8,8.5,10,7,8,8.79,9,,,
51.5,Israel,8.414,7,8.75,9,8,7,9.15,10,,,
45.9,Croatia,8.411,8,8.1,10,9,5,8.78,10,,,
54.7,Greece,8.361,8,7.6,9,8,7,8.93,10,,,
56.9,Montenegro,8.149,8,6.6,10,8,7,8.44,9,,,
39.8,Qatar,8.043,10,8.55,10,1,8,8.75,10,,,
33.7,Uruguay,8.029,8,8.9,10,6,5,8.3,10,,,
53.9,Brunei Darussalam,7.961,7,8.5,10,5,7,8.23,10,,,
67.8,Serbia,7.957,5,6.65,9,9,9,8.05,9,,,
51.0,Romania,7.953,8,7.4,10,7,5,8.27,10,,,
41.1,Chile,7.843,9,8.3,9,5,5,8.6,10,,,
49.4,Bulgaria,7.820,7,7.75,10,7,5,7.99,10,,,
54.1,Cyprus,7.746,5,8.15,9,6,7,9.07,10,,,
53.6,Botswana,7.740,8,8.1,10,6,6,7.08,9,,,
53.1,Malaysia,7.724,8,8,9,5,7,8.07,9,,,
51.0,Seychelles,7.696,6,7.85,10,7,6,8.02,9,,,
46.2,Hungary,7.616,3,7.8,10,9,5,8.51,10,,,
59.3,Namibia,7.614,6,7.2,10,7,9,6.1,8,,,
84.0,Türkiye,7.579,8,6.5,8,5,8,8.55,9,,,
81.6,Russia,7.573,7,6.8,8,8,6,8.21,9,,,
74.3,Jordan,7.533,8,7.1,8,5,8,7.63,9,,,
49.3,Kuwait,7.503,7,8.05,10,1,8,8.47,10,,,
57.8,Kazakhstan,7.481,7,7.35,9,6,6,8.02,9,,,
59.1,Cuba,7.470,5,7.65,10,9,4,7.64,9,,,
