OBJECTID,Code,ZONE_CODE,COUNT,AREA,base.mean
1,RUS,1,7990,7.45086E+13,245.4091192
2,MNG,2,352,3.28248E+12,248.5522794
3,CHN,3,1538,1.43422E+13,264.8480744
4,NKO,4,24,2.23806E+11,268.4501139
5,SKO,5,18,1.67854E+11,275.3794759
6,JPN,6,67,6.24791E+11,272.7116481
7,NPL,7,20,1.86505E+11,277.3661621
8,BHU,8,6,55951403765,275.0428874
9,BGD,9,19,1.77179E+11,293.1258609
10,IND,10,410,3.82335E+12,291.6960902
11,LKA,11,7,65276637725,300.2100656
12,MMR,12,79,7.36693E+11,289.8431288
13,THA,13,58,5.40864E+11,296.3389766
14,LAO,14,28,2.61107E+11,293.2948172
15,VNM,15,34,3.17058E+11,294.7718434
16,KHM,16,22,2.05155E+11,298.8726696
17,MYS,17,36,3.35708E+11,296.91588
18,PHL,18,47,4.38286E+11,298.1231248
19,TLS,19,1,9325233961,297.5939941
20,PNG,20,41,3.82335E+11,294.2020829
21,AUS,21,1011,9.42781E+12,300.8861283
22,NZL,22,50,4.66262E+11,286.789502
23,FJI,23,2,18650467922,297.4299316
24,PAK,24,112,1.04443E+12,285.8190046
25,AFG,25,92,8.57922E+11,267.8332095
26,TJK,26,26,2.42456E+11,260.5655987
27,KGZ,27,36,3.35708E+11,262.7590875
28,KAZ,28,642,5.9868E+12,263.031266
29,UZB,29,85,7.92645E+11,273.0797248
30,TKM,30,83,7.73994E+11,278.8638078
31,IRN,31,244,2.27536E+12,278.5802902
32,AZE,32,15,1.39879E+11,279.7919108
33,ARM,33,6,55951403765,267.0292155
34,GEO,34,14,1.30553E+11,268.364502
35,UAE,35,7,65276637725,292.8847307
36,OMN,36,34,3.17058E+11,295.0823328
37,YEM,37,51,4.75587E+11,294.7277258
38,QAT,38,2,18650467922,288.3293457
39,SAU,39,248,2.31266E+12,289.1455787
40,KWT,40,2,18650467922,284.5168457
41,IRQ,41,67,6.24791E+11,282.0783983
42,JOR,42,15,1.39879E+11,284.2120931
43,ISR,43,4,37300935843,287.1027832
44,CYP,44,2,18650467922,287.4006348
45,SYR,45,30,2.79757E+11,281.1130046
46,TUR,46,138,1.28688E+12,273.4922052
47,EGY,47,134,1.24958E+12,291.9706558
48,SDN,48,219,2.04223E+12,299.2877281
49,ERT,49,13,1.21228E+11,300.7352201
50,DJI,50,1,9325233961,299.0549316
51,ETH,51,122,1.13768E+12,299.6842381
