OBJECTID,Code,ZONE_CODE,COUNT,AREA,MEAN
25,AFG,25,92,8.57922E+11,276.0511315
70,AGO,70,138,1.28688E+12,301.9142571
109,ALB,109,5,46626169804,285.094873
95,ALG,95,319,2.97475E+12,293.6386818
160,ARG,160,448,4.1777E+12,289.8321577
33,ARM,33,6,55951403765,271.8181152
21,AUS,21,1011,9.42781E+12,302.110345
117,AUT,117,15,1.39879E+11,274.1476074
32,AZE,32,15,1.39879E+11,279.1645345
57,BDI,57,3,27975701882,296.4512533
124,BEL,124,8,74601871686,279.9506836
81,BEN,81,14,1.30553E+11,306.6463797
85,BFA,85,30,2.79757E+11,306.3190267
9,BGD,9,19,1.77179E+11,291.5236559
107,BGR,107,24,2.23806E+11,284.0589193
145,BHS,145,16,1.49204E+11,297.4454346
8,BHU,8,6,55951403765,279.0358887
113,BIH,113,11,1.02578E+11,282.7052779
103,BLR,103,65,6.0614E+11,275.1622108
138,BLZ,138,3,27975701882,294.5827637
155,BOL,155,126,1.17498E+12,293.1849462
156,BRA,156,967,9.0175E+12,297.3532887
66,BWA,66,67,6.24791E+11,307.1212723
76,CAF,76,66,6.15465E+11,305.4509573
134,CAN,134,3187,2.97195E+13,242.6752571
161,CBV,161,9,83927105647,295.8824599
84,CDI,84,34,3.17058E+11,304.3843491
159,CHL,159,124,1.15633E+12,284.7120952
3,CHN,3,1538,1.43422E+13,264.8723949
75,CMR,75,53,4.94237E+11,302.8809653
71,COD,71,251,2.34063E+12,301.4998376
72,COG,72,33,3.07733E+11,301.8160733
149,COL,149,124,1.15633E+12,294.7305711
60,COM,60,3,27975701882,300.6843262
142,CRI,142,5,46626169804,293.3929199
114,CRO,114,11,1.02578E+11,283.2949441
144,CUB,144,15,1.39879E+11,295.6176595
44,CYP,44,2,18650467922,290.0378418
119,CZE,119,20,1.86505E+11,276.7013184
122,DEU,122,100,9.32523E+11,277.7021973
50,DJI,50,1,9325233961,300.7214355
121,DNK,121,19,1.77179E+11,273.8559956
147,DOM,147,7,65276637725,294.9136789
153,ECU,153,27,2.51781E+11,292.3805791
47,EGY,47,134,1.24958E+12,294.2812536
49,ERT,49,13,1.21228E+11,301.2004019
139,ESA,139,2,18650467922,293.8376465
131,ESP,131,93,8.67247E+11,282.5748252
100,EST,100,14,1.30553E+11,268.47869
63,ESW,63,2,18650467922,305.1833496
51,ETH,51,122,1.13768E+12,300.7232606
99,FIN,99,195,1.81842E+12,252.5353159
23,FJI,23,2,18650467922,297.2429199
128,FRA,128,122,1.13768E+12,280.7532779
73,GAB,73,28,2.61107E+11,302.0194266
129,GBR,129,72,6.71417E+11,276.1756185
34,GEO,34,14,1.30553E+11,275.0845773
83,GHA,83,27,2.51781E+11,305.822564
88,GIN,88,24,2.23806E+11,305.3557943
91,GMB,91,4,37300935843,305.583252
89,GNB,89,4,37300935843,305.4714355
74,GNQ,74,2,18650467922,301.611084
108,GRC,108,21,1.9583E+11,286.9256766
137,GUA,137,13,1.21228E+11,291.281081
151,GUY,151,23,2.1448E+11,297.1378758
146,HAI,146,3,27975701882,294.6595866
140,HND,140,14,1.30553E+11,292.5462123
115,HUN,115,21,1.9583E+11,280.2559408
