"","Entity","Code"
"1","Afghanistan","AFG"
"2","Angola","AGO"
"3","Albania","ALB"
"4","Algeria","ALG"
"5","Argentina","ARG"
"6","Armenia","ARM"
"7","Australia","AUS"
"8","Austria","AUT"
"9","Azerbaijan","AZE"
"10","Burundi","BDI"
"11","Belgium","BEL"
"12","Benin","BEN"
"13","Burkina Faso","BFA"
"14","Bangladesh","BGD"
"15","Bulgaria","BGR"
"16","Bahamas","BHS"
"17","Bhutan","BHU"
"18","Bosnia and Herzegovina","BIH"
"19","Belarus","BLR"
"20","Belize","BLZ"
"21","Bolivia","BOL"
"22","Brazil","BRA"
"23","Botswana","BWA"
"24","Central African Republic","CAF"
"25","Canada","CAN"
"26","Cape Verde","CBV"
"27","Cote d'Ivoire","CDI"
"28","Chile","CHL"
"29","China","CHN"
"30","Cameroon","CMR"
"31","Congo, DR","COD"
"32","Congo, Rep.","COG"
"33","Colombia","COL"
"34","Comoros","COM"
"35","Costa Rica","CRI"
"36","Croatia","CRO"
"37","Cuba","CUB"
"38","Cyprus","CYP"
"39","Czechia","CZE"
"40","Germany","DEU"
"41","Djibouti","DJI"
"42","Denmark","DNK"
"43","Dominican Republic","DOM"
"44","Ecuador","ECU"
"45","Egypt","EGY"
"46","Eritrea","ERT"
"47","El Salvador","ESA"
"48","Spain","ESP"
"49","Estonia","EST"
"50","Eswatini","ESW"
"51","Ethiopia","ETH"
"52","Finland","FIN"
"53","Fiji","FJI"
"54","France","FRA"
"55","Gabon","GAB"
"56","United Kingdom","GBR"
"57","Georgia","GEO"
"58","Ghana","GHA"
"59","Guinea","GIN"
"60","Gambia","GMB"
"61","Guinea-Bissau","GNB"
"62","Equatorial Guinea","GNQ"
"63","Greece","GRC"
"64","Guatemala","GUA"
"65","Guyana","GUY"
"66","Haiti","HAI"
"67","Honduras","HND"
"68","Hungary","HUN"
"69","Iceland","ICL"
"70","Indonesia","IDN"
"71","India","IND"
"72","Ireland","IRL"
"73","Iran","IRN"
"74","Iraq","IRQ"
"75","Israel","ISR"
"76","Italy","ITA"
"77","Jamaica","JAM"
"78","Jordan","JOR"
"79","Japan","JPN"
"80","Kazakhstan","KAZ"
"81","Kenya","KEN"
"82","Kyrgyz Rep.","KGZ"
"83","Cambodia","KHM"
"84","Kuwait","KWT"
"85","Laos","LAO"
"86","Liberia","LBR"
"87","Libya","LBY"
"88","Sri Lanka","LKA"
"89","Lesotho","LSO"
"90","Lithuania","LTU"
"91","Luxembourg","LUX"
"92","Latvia","LVA"
"93","Morocco","MAR"
"94","Moldova","MDA"
"95","Madagascar","MDG"
"96","Mexico","MEX"
"97","Macedonia","MKD"
"98","Mali","MLI"
"99","Myanmar","MMR"
"100","Montenegro","MNE"
"101","Mongolia","MNG"
"102","Mozambique","MOZ"
"103","Mauritania","MRT"
"104","Malawi","MWI"
"105","Malaysia","MYS"
"106","Namibia","NAM"
"107","Niger","NER"
"108","Nigeria","NGA"
"109","Nicaragua","NIC"
"110","North Korea","NKO"
"111","Netherlands","NLD"
"112","Norway","NOR"
"113","Nepal","NPL"
"114","New Zealand","NZL"
"115","Oman","OMN"
"116","Pakistan","PAK"
"117","Panama","PAN"
"118","Peru","PER"
"119","Philippines","PHL"
"120","Papua New Guinea","PNG"
"121","Poland","POL"
"122","Portugal","PRT"
"123","Paraguay","PRY"
"124","Qatar","QAT"
"125","Romania","ROU"
"126","Russia","RUS"
"127","Rwanda","RWA"
"128","South Africa","SAF"
"129","Saudi Arabia","SAU"
"130","Sudan","SDN"
"131","Senegal","SEN"
"132","Sierra Leone","SLE"
"133","South Korea","SKO"
"134","Somalia","SOM"
"135","Serbia","SRB"
"136","South Sudan","SSD"
"137","Switzerland","SUI"
"138","Suriname","SUR"
"139","Slovakia","SVK"
"140","Slovenia","SVN"
"141","Sweden","SWE"
"142","Seychelles","SYC"
"143","Syria","SYR"
"144","Chad","TCD"
"145","Togo","TGO"
"146","Thailand","THA"
"147","Tajikistan","TJK"
"148","Turkmenistan","TKM"
"149","Timor-Leste","TLS"
"150","Tunisia","TUN"
"151","Turkey","TUR"
"152","Tanzania","TZA"
"153","United Arab Emirates","UAE"
"154","Uganda","UGA"
"155","Ukraine","UKR"
"156","Uruguay","URY"
"157","United States","USA"
"158","Uzbekistan","UZB"
"159","Venezuela","VEN"
"160","Vietnam","VNM"
"161","Yemen","YEM"
"162","Zambia","ZMB"
"163","Zimbabwe","ZWE"
