Entity,problem_solving_score,temp_dev,precip_dev
Afghanistan,3.939,8.217922,56.50250083
Albania,7.463,10.7887695,216.4532688
Algeria,6.476,4.8122535,14.43484747
Angola,6.451,2.9613975,65.14711467
Argentina,7.313,1.7672729,98.33130988
Armenia,7.337,4.7888997,76.94143432
Australia,9.13,1.2242167,58.45834051
Austria,9.559,6.8275716,94.01136167
Azerbaijan,6.85,0.6273763,62.92656236
Bahamas,7.1,2.8936768,111.4280562
Bangladesh,5.771,1.602205,265.3377208
Belarus,7.109,14.8312876,60.69736905
Belgium,9.66,4.6508789,97.08748691
Belize,6.243,0.3663737,147.4989588
Benin,6.406,0.9336635,98.24989366
Bhutan,6.433,3.9930013,242.6605452
Bolivia,7.033,0.488599,87.72819117
Bosnia and Herzegovina,7.399,12.8184926,140.5758342
Botswana,7.74,2.8026979,89.64062683
Brazil,7.307,0.9593807,94.52686912
Bulgaria,7.82,13.3555502,88.31083502
Burkina Faso,4.44,0.2829753,101.2623019
Burundi,4.807,0.9936523,300.6594647
Cambodia,6.05,0.530673,151.6059779
Cameroon,5.439,0.1214715,121.3626448
Canada,9.393,0.8611845,22.40232572
Cape Verde,6.28,0.479438,63.93339414
Central African Republic,3.353,1.1171727,212.6744036
Chad,4.191,0.4927236,51.9706121
Chile,7.843,1.4503056,96.99072857
China,7.276,0.0243205,54.1480538
Colombia,7.011,0.2652942,147.1998625
Comoros,4.573,1.6652019,240.7398
"Congo, DR",3.416,0.7570441,319.151879
"Congo, Rep.",4.961,0.5069691,158.7702406
Costa Rica,7.38,1.2057617,378.3372253
Cote d'Ivoire,6.706,0.8847943,100.9515405
Croatia,8.411,10.3747781,125.5682823
Cuba,7.47,1.5731445,100.0277039
Cyprus,7.746,2.637207,75.35945757
Czechia,8.721,7.2431641,72.71386934
Denmark,9.631,0.2469418,92.28923698
Djibouti,6.45,1.6665039,136.2047009
Dominican Republic,7.059,1.9750977,156.7723212
Ecuador,6.743,1.610659,358.0436778
Egypt,6.54,2.3105978,9.349225262
El Salvador,6.849,0.8051758,259.7351945
Equatorial Guinea,4.843,1.9282227,186.4396051
Eritrea,4.676,0.4651818,130.368161
Estonia,9.106,7.6253488,77.94088214
Eswatini,6.171,9.6264648,132.0584406
Ethiopia,4.474,1.0390225,169.7128749
Fiji,6.87,0.1870117,358.0300643
Finland,9.61,6.074784,66.94512134
France,9.643,4.83673,78.5923278
Gabon,7.276,1.5578962,132.1774803
Gambia,6.45,2.4663086,184.2061141
Georgia,6.863,6.7200753,94.10065
Germany,9.757,5.7174805,82.48391056
Ghana,7.01,0.5232747,111.478034
Greece,8.361,9.7860165,103.2486652
Guatemala,5.791,0.559683,174.7513372
Guinea,5.287,2.9383952,210.9551965
Guinea-Bissau,4.347,4.2421875,320.2187495
Guyana,6.581,0.8269149,218.418963
Haiti,3.674,1.5597331,141.1283277
Honduras,6.184,0.2880162,180.0844906
Hungary,7.616,8.2284459,92.82291287
Iceland,8.741,3.5774446,118.6278053
India,7.291,0.3397598,94.30142237
Indonesia,7.126,0.8378067,302.0311025
Iran,5.743,2.6643107,39.63988672
Iraq,5.233,3.6250802,46.00230095
Ireland,9.121,4.9887695,133.452986
Israel,8.414,3.7822266,42.50432936
Italy,9.044,7.0912895,127.08107
Jamaica,7.259,1.1528321,136.1489463
Japan,9.407,1.9139094,122.5475766
Jordan,7.533,4.7352539,19.49968887
Kazakhstan,7.481,0.3167512,33.10782451
Kenya,6.059,0.9220431,159.2885923
Kuwait,7.503,4.0942383,39.80621251
Kyrgyz Rep.,6.609,1.9306654,72.0355606
Laos,5.764,0.5429687,130.1804561
Latvia,8.47,11.5119407,75.74261336
Lesotho,6.959,3.6054688,143.5300032
Liberia,5.903,1.6315252,149.233439
Libya,3.88,2.3789675,5.750927435
Lithuania,8.677,7.0237482,72.0578371
Luxembourg,9.581,4.3891601,96.89546786
Macedonia,7.121,10.3227539,97.05296745
Madagascar,5.074,0.5596873,119.0801664
Malawi,6.111,0.8295898,157.3308567
Malaysia,7.724,0.3116319,296.3116236
Mali,4.764,3.3914189,72.39563786
